institute_name,course_name,tutor,subject,course_type,learning_format,total_hours,price,price_per_hour,url,course_scope
SmartMathPro,PACK Buffet เนื้อหาคณิตม.ปลาย ม.4 – ม.6 + พิชิตคณิตพื้นฐาน ม.4-6 + ปรับพื้นคณิตพิชิตม.ปลาย,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,433.0,14190.0,32.77,https://online.smartmathpro.com/product/q010/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิตไฟฟ้า,พี่ฟาร์ม PhysicsFarm,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,36.0,1790.0,49.72,https://online.smartmathpro.com/product/x005/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK คณิต ม.4 เทอม 1+2 + พิชิตคณิตพื้นฐาน ม.4 + ปรับพื้นคณิตพิชิตม.ปลาย,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,186.0,6450.0,34.68,https://online.smartmathpro.com/product/e037/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level ฟิสิกส์ (V.เต็ม),พี่ฟาร์ม PhysicsFarm,ฟิสิกส์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,177.0,6990.0,39.49,https://online.smartmathpro.com/product/x008/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level ภาษาไทย (V.รวบรัด + Mock Test Vol.1),อ.ขลุ่ย,ภาษาไทย,คอร์สแพ็กเกจ,วิดีโอออนไลน์,23.0,1450.0,63.04,https://online.smartmathpro.com/product/p013/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level ภาษาอังกฤษ (V.เต็ม) + ไทย-สังคม (V.เต็ม) + TGAT (V.เต็ม),"พี่ปั้น SmartMathPro, อ.ขลุ่ย, พี่หนู, ครูกอล์ฟ",ภาษาไทย-สังคมศึกษา,คอร์สแพ็กเกจ,วิดีโอออนไลน์,266.0,9050.0,34.02,https://online.smartmathpro.com/product/y008/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิตกลศาสตร์,พี่ฟาร์ม PhysicsFarm,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,52.0,2690.0,51.73,https://online.smartmathpro.com/product/x003/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิตคลื่น แสง เสียง,พี่ฟาร์ม PhysicsFarm,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,37.0,1590.0,42.97,https://online.smartmathpro.com/product/x004/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK คณิต ม.5 เทอม 2 + ปรับพื้นคณิตพิชิตม.ปลาย,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,65.0,2850.0,43.85,https://online.smartmathpro.com/product/e026/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK TPAT1 (ครบ 3 พาร์ต),"พี่ปั้น SmartMathPro, อ.ขลุ่ย, พี่หมออู๋",ความถนัด (TGAT/TPAT/สอบเฉพาะทาง),คอร์สแพ็กเกจ,วิดีโอออนไลน์,74.0,3490.0,47.16,https://online.smartmathpro.com/product/c007/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK คณิต ม.4 เทอม 1 + ปรับพื้นคณิตพิชิตม.ปลาย,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,88.0,3490.0,39.66,https://online.smartmathpro.com/product/e018/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิต A-Level ชีววิทยา (V.รวบรัด),พี่หนุ่ม,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,80.0,2990.0,37.38,https://online.smartmathpro.com/product/z001/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิต A-Level คณิต 1 เล่ม 3,พี่ปั้น SmartMathPro,คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,70.0,2690.0,38.43,https://online.smartmathpro.com/product/m111/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK คณิต ม.4 เทอม 2 + ปรับพื้นคณิตพิชิตม.ปลาย,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,104.0,3690.0,35.48,https://online.smartmathpro.com/product/e020/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level คณิต 2 (V.เต็ม) + ภาษาอังกฤษ (V.เต็ม) + ไทย-สังคม (V.เต็ม) + TGAT (V.เต็ม),"พี่ปั้น SmartMathPro, อ.ขลุ่ย, พี่หนู, ครูกอล์ฟ",ภาษาไทย-สังคมศึกษา,คอร์สแพ็กเกจ,วิดีโอออนไลน์,326.0,10790.0,33.1,https://online.smartmathpro.com/product/d079/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK คณิต ม.4 เทอม 1,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,62.0,2550.0,41.13,https://online.smartmathpro.com/product/e003/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิตความสัมพันธ์และฟังก์ชัน,พี่ปั้น SmartMathPro,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,29.0,1190.0,41.03,https://online.smartmathpro.com/product/f004/,Chapter (คอร์สเนื้อหาแยกบท)
SmartMathPro,PACK คณิต ม.4 เทอม 2,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,78.0,2750.0,35.26,https://online.smartmathpro.com/product/e004/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK คณิต ม.6 เทอม 1+2,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,97.0,4150.0,42.78,https://online.smartmathpro.com/product/e009/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิต TPAT1 (พาร์ตเชาวน์ปัญญาคณิต),พี่ปั้น SmartMathPro,แพ็กเกจเตรียมสอบแพทย์ (กสพท/TPAT1),ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,35.0,1890.0,54.0,https://online.smartmathpro.com/product/c004/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
